Party,Criminal Case,Total Assets,Liabilities,state,Education,SC,ST,Doctor,Advocate
BJP,1,6600000,0,UTTAR PRADESH,Graduate Professional,0,0,1,0
AAP,0,20000000,2700000,PUNJAB,12th Pass,0,0,0,0
BJP,3,40000000,100000,MADHYA PRADESH,12th Pass,0,0,0,0
AAP,0,90000000,0,DELHI,8th Pass,0,0,0,0
AAP,12,330000000,500000,DELHI,Graduate,0,0,0,0
BJP,9,200000000,10000000,TAMIL NADU,10th Pass,0,0,0,0
AAP,0,6700000,2700000,KARNATAKA,Post Graduate,0,0,0,0
IND,1,70000000,7500000,PUDUCHERRY,Graduate,0,0,0,0
RJD,1,10000000,0,BIHAR,Graduate Professional,1,0,0,0
INC,13,6300000,5900000,HIMACHAL PRADESH,Post Graduate,0,0,0,0
AITC,0,20000000,0,WEST BENGAL,12th Pass,0,0,0,0
AITC,11,10000000,0,WEST BENGAL,Post Graduate,0,0,0,0
AIADMK,0,90000000,900000,TAMIL NADU,10th Pass,0,0,0,0
INC,1,40000000,20000000,CHHATTISGARH,Graduate Professional,1,0,0,0
INC,8,2100000,4600000,KARNATAKA,10th Pass,0,0,0,0
AITC,0,30000000,0,WEST BENGAL,8th Pass,0,1,0,0
BJP,2,2100000,60000000,KARNATAKA,Graduate Professional,0,0,0,0
AITC,4,230000000,1000000,WEST BENGAL,Post Graduate,0,0,0,0
JD(U),4,50000000,10000000,MADHYA PRADESH,12th Pass,0,0,0,0
BJP,1,10000000,100000,UTTAR PRADESH,Post Graduate,1,0,0,0
AAP,1,440000000,700000,PUNJAB,Post Graduate,0,0,0,0
BJP,0,60000000,10000000,UTTAR PRADESH,Graduate,1,0,0,0
AIADMK,0,0,2400000,TAMIL NADU,10th Pass,0,0,0,0
AITC,1,10000000,0,WEST BENGAL,Post Graduate,1,0,0,0
AIADMK,7,260000000,20000000,TAMIL NADU,10th Pass,0,0,0,0
SP,0,20000000,3600000,UTTAR PRADESH,12th Pass,0,0,0,0
AITC,1,150000000,0,WEST BENGAL,Graduate Professional,0,0,0,0
BJP,0,20000000,20000000,HARYANA,Graduate Professional,1,0,0,0
BJP,18,130000000,20000000,MANIPUR,Post Graduate,0,0,0,0
YSRCP,0,160000000,1600000,ANDHRA PRADESH,12th Pass,0,0,0,0
BJP,0,20000000,60000000,UTTAR PRADESH,Post Graduate,0,0,0,0
INC,1,2100000,40000000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,0,110000000,9600000,UTTAR PRADESH,Post Graduate,0,0,0,0
RJD,4,50000000,700000,BIHAR,Doctorate,0,0,0,0
JD(U),0,10000000,400000,BIHAR,12th Pass,0,0,0,0
BJP,1,9000000,5400000,PUDUCHERRY,10th Pass,0,0,0,0
BJP,0,30000000,6100000,GUJARAT,12th Pass,0,0,0,0
BJP,0,90000000,0,GUJARAT,8th Pass,0,1,0,0
AITC,0,5600000,0,WEST BENGAL,8th Pass,0,1,0,0
BJP,0,2420000000,8800000,KARNATAKA,Graduate,0,0,0,0
CPI(M),8,7600000,280000000,KARNATAKA,Post Graduate,0,0,0,0
BJP,0,630000000,10000000,GUJARAT,12th Pass,0,0,0,0
BJP,0,80000000,10000000,UTTAR PRADESH,Graduate,0,0,0,0
JMM,3,5700000,0,JHARKHAND,Graduate,0,1,0,0
IND,9,200000000,7200000,TAMIL NADU,Graduate Professional,0,0,0,0
BJP,0,1400000,5400000,ARUNACHAL PRADESH,Literate,0,0,0,0
DMK,17,150000000,900000,TAMIL NADU,10th Pass,1,0,0,0
SP,1,130000000,10000000,UTTAR PRADESH,12th Pass,1,0,0,0
BJP,0,100000000,2700000,UTTAR PRADESH,Others,0,0,0,0
BJP,0,80000000,0,NAGALAND,Post Graduate,0,0,0,0
SP,0,0,300000,UTTAR PRADESH,12th Pass,0,0,0,0
JMM,0,40000000,0,JHARKHAND,12th Pass,0,1,0,0
SP,4,20000000,1000000,UTTAR PRADESH,Graduate Professional,1,0,1,0
YSRCP,2,10000000,1800000,ANDHRA PRADESH,Post Graduate,0,0,0,0
BJP,23,8000000,8700000,RAJASTHAN,Post Graduate,0,1,0,0
DMK,3,10000000,800000,TAMIL NADU,Graduate Professional,0,0,0,0
BJP,0,90000000,1700000,TAMIL NADU,Post Graduate,0,0,0,0
BJP,1,130000000,4400000,UTTAR PRADESH,Post Graduate,1,0,1,0
AAP,1,5700000,1300000,PUNJAB,Graduate Professional,0,0,0,0
BJP,0,110000000,3500000,UTTAR PRADESH,Graduate,0,0,0,0
INC,0,50000000,10000000,HIMACHAL PRADESH,Post Graduate,0,0,0,0
BJP,0,10000000,3600000,MAHARASHTRA,12th Pass,0,0,0,0
CPI(M),0,2800000,45000,SIKKIM,Graduate Professional,0,0,0,0
BJP,2,30000000,10000000,ASSAM,Post Graduate,0,0,0,0
AITC,0,30000000,1200000,WEST BENGAL,Graduate Professional,1,0,0,0
INC,2,0,80000000,KARNATAKA,Graduate Professional,0,0,0,0
INC,1,890000000,420000000,KARNATAKA,Graduate,0,0,0,0
CPI(M),7,5900000,1400000,KERALA,Graduate Professional,0,0,0,1
AAP,0,10000000,2200000,PUNJAB,10th Pass,0,0,0,0
JD(U),3,10000000,700000,BIHAR,12th Pass,0,0,0,0
INC,0,800000,0,HIMACHAL PRADESH,Graduate Professional,0,0,0,0
INC,0,110000000,3500000,HARYANA,10th Pass,0,0,0,0
SP,2,130000000,1000000,UTTAR PRADESH,Graduate Professional,0,0,1,0
YSRCP,0,170000000,100000,ANDHRA PRADESH,10th Pass,0,0,0,0
BJP,1,30000000,1100000,UTTAR PRADESH,Graduate Professional,0,0,0,0
INC,1,100000000,40000000,KARNATAKA,12th Pass,0,0,0,0
SP,4,20000000,1100000,UTTAR PRADESH,12th Pass,0,0,0,0
AITC,0,10000000,100000,GUJARAT,Graduate Professional,0,0,0,0
BJP,0,80000000,60000000,RAJASTHAN,Post Graduate,0,0,0,0
BJP,43,9100000,8000000,RAJASTHAN,Post Graduate,0,0,0,0
BJD,0,8700000,2900000,ODISHA,Graduate Professional,0,0,0,0
INC,13,210000000,61000,KARNATAKA,Post Graduate,0,0,0,0
AITC,0,10000000,0,WEST BENGAL,Post Graduate,0,0,0,0
IND,0,40000000,800000,GOA,Post Graduate,0,0,1,0
SP,0,130000000,1000000,UTTAR PRADESH,Graduate Professional,0,0,1,0
BJP,0,130000000,1000000,UTTAR PRADESH,Post Graduate,1,0,1,0
SP,1,130000000,3600000,UTTAR PRADESH,Graduate Professional,0,0,0,0
AITC,0,50000000,0,CHHATTISGARH,8th Pass,0,1,0,0
BJP,0,20000000,1700000,WEST BENGAL,Post Graduate,0,0,0,0
SP,1,5700000,1600000,UTTAR PRADESH,8th Pass,0,0,0,0
INC,0,50000000,20000000,KARNATAKA,Graduate,1,0,0,0
BJP,0,70000000,20000000,MADHYA PRADESH,Graduate Professional,0,0,1,0
YSRCP,4,160000000,1600000,ANDHRA PRADESH,10th Pass,0,0,0,0
BJP,0,10000000,2900000,HARYANA,12th Pass,0,0,0,0
BJP,0,9500000,10000000,MANIPUR,Graduate,0,0,0,0
INC,5,440000000,40000000,MAHARASHTRA,10th Pass,0,1,0,0
BJP,1,60000000,10000000,MADHYA PRADESH,Post Graduate,0,0,0,0
NPP,0,460000000,200000,MEGHALAYA,Graduate,0,1,0,0
BJP,0,10000000,4300000,UTTAR PRADESH,Graduate,0,0,0,0
AAP,1,10000000,1100000,PUNJAB,Graduate Professional,1,0,0,0
AITC,0,9500000,0,WEST BENGAL,Post Graduate,1,0,0,0
TDP,1,160000000,70000000,KARNATAKA,Graduate Professional,0,0,0,0
JD(U),2,50000000,3100000,UTTAR PRADESH,12th Pass,0,0,0,0
IND,0,3700000,9800000,HARYANA,Graduate,0,0,0,0
DMK,5,6800000,900000,TAMIL NADU,Post Graduate,0,0,0,0
INC,13,800000,500000,GOA,Post Graduate,1,0,0,0
BJP,0,100000000,900000,UTTAR PRADESH,12th Pass,0,0,0,0
INC,0,240000000,2600000,GUJARAT,8th Pass,0,1,0,0
RJD,0,20000000,0,BIHAR,12th Pass,0,0,0,0
CPI(M),1,10000000,3900000,MADHYA PRADESH,Graduate Professional,0,0,0,1
BJP,0,0,1100000,UTTAR PRADESH,Graduate,0,0,0,0
INC,0,380000000,6900000,KARNATAKA,Graduate Professional,0,0,0,0
INC,0,60000000,10000000,UTTAR PRADESH,Graduate Professional,1,0,0,0
INC,1,2100000,0,KERALA,Graduate Professional,0,0,0,1
AAP,0,10000000,500000,DELHI,12th Pass,0,0,0,0
AITC,0,30000000,1200000,WEST BENGAL,Post Graduate,0,0,0,0
JMM,1,40000000,1900000,JHARKHAND,Post Graduate,0,1,0,0
BJP,1,8300000,8500000,JHARKHAND,10th Pass,0,0,0,0
JMM,0,100000000,1900000,JHARKHAND,Graduate,1,1,0,0
BJP,0,170000000,10000000,MADHYA PRADESH,Doctorate,0,0,0,0
AITC,4,4900000,0,WEST BENGAL,Post Graduate,0,0,0,0
AAP,0,10000000,2700000,DELHI,12th Pass,0,0,0,0
JMM,0,50000000,10000000,ANDHRA PRADESH,Doctorate,0,0,0,0
DMK,22,50000000,900000,TAMIL NADU,Graduate Professional,0,0,0,0
BJP,1,4900000,2600000,ASSAM,Post Graduate,0,0,0,0
IND,0,220000000,0,NAGALAND,10th Pass,0,0,0,0
BJP,1,1700000,210000000,RAJASTHAN,8th Pass,0,0,0,0
BJP,0,10000000,3500000,KARNATAKA,Graduate Professional,1,0,0,0
NCP,5,180000000,40000000,MAHARASHTRA,12th Pass,0,0,0,0
CPI(M),7,3600000,500000,KERALA,Graduate Professional,0,0,0,1
INC,0,10000000,100000,HARYANA,Post Graduate,0,0,0,0
INC,9,2600000,1300000,MAHARASHTRA,Graduate,0,0,0,0
BJP,0,10000000,0,NAGALAND,10th Pass,0,1,0,0
BJP,0,50000000,40000000,KARNATAKA,Doctorate,0,0,0,0
BJP,0,6100000,10000000,RAJASTHAN,10th Pass,0,0,0,0
JMM,6,0,0,JHARKHAND,8th Pass,0,1,0,0
BJP,0,20000000,70000000,UTTAR PRADESH,Graduate,0,0,0,0
DMK,12,8900000,40000000,TAMIL NADU,Graduate Professional,0,0,0,0
INC,6,40000000,40000000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,0,30000000,1100000,PUNJAB,12th Pass,1,0,0,0
CPI(M),1,0,0,KERALA,Graduate Professional,0,0,0,1
INC,1,10000000,400000,MADHYA PRADESH,12th Pass,0,0,0,0
INC,1,40000000,30000000,HIMACHAL PRADESH,Graduate Professional,0,0,0,0
INC,0,0,2800000,HARYANA,12th Pass,0,0,0,0
TDP,4,160000000,150000000,ANDHRA PRADESH,Graduate,0,0,0,0
BJP,1,920000000,4800000,KARNATAKA,Graduate,0,0,0,0
INC,1,110000000,20000000,KARNATAKA,Graduate Professional,1,0,1,0
CPI(M),10,0,1400000,WEST BENGAL,12th Pass,0,0,0,0
INC,0,90000000,0,KERALA,Graduate Professional,0,0,0,1
BJP,1,520000000,8900000,PUNJAB,12th Pass,1,0,0,0
AAP,0,1500000,110000000,DELHI,10th Pass,0,0,0,0
BJP,0,80000000,200000,ASSAM,Graduate,0,0,0,0
AAP,1,0,0,KERALA,Graduate Professional,0,0,0,1
BJP,1,90000000,0,JHARKHAND,8th Pass,0,0,0,0
RJD,4,20000000,0,BIHAR,Doctorate,0,0,0,0
BJP,0,60000000,50000000,RAJASTHAN,10th Pass,0,0,0,0
INC,18,9600000,320000000,KARNATAKA,Post Graduate,0,0,0,0
SP,0,210000000,300000,UTTAR PRADESH,12th Pass,0,0,0,0
AITC,1,10000000,8500000,WEST BENGAL,Post Graduate,0,0,0,0
AITC,2,330000000,4400000,WEST BENGAL,Post Graduate,0,0,0,0
BJP,0,30000,3700000,RAJASTHAN,12th Pass,0,0,0,0
AAP,1,0,1500000,PUNJAB,Graduate Professional,0,0,0,0
INC,1,9600000,280000000,TAMIL NADU,Graduate Professional,0,0,0,0
AITC,0,40000000,0,WEST BENGAL,Graduate,0,1,0,0
BJP,1,60000000,300000,UTTAR PRADESH,Post Graduate,0,0,1,0
BJP,0,40000000,3500000,MADHYA PRADESH,Others,1,0,0,0
SP,1,70000000,300000,UTTAR PRADESH,Post Graduate,1,0,1,0
AAP,0,0,2800000,UTTARAKHAND,12th Pass,1,0,0,0
BJP,1,4100000,5400000,HARYANA,Graduate,0,0,0,0
INC,1,10000000,2300000,HIMACHAL PRADESH,Post Graduate,0,1,0,0
BJP,0,40000000,10000000,MADHYA PRADESH,12th Pass,0,0,0,0
BJP,1,800000,10000000,ARUNACHAL PRADESH,Post Graduate,0,0,0,0
AITC,0,270000000,10000000,WEST BENGAL,Graduate,0,0,0,0
BJP,1,60000000,0,UTTAR PRADESH,Post Graduate,0,0,0,0
JD(U),0,10000000,0,BIHAR,Doctorate,0,0,0,0
YSRCP,4,70000000,170000000,ANDHRA PRADESH,Post Graduate,0,0,0,0
NCP,0,390000000,60000000,KARNATAKA,Graduate,0,0,0,0
BJP,0,60000000,20000000,RAJASTHAN,Post Graduate,1,0,1,0
BJP,0,230000000,900000,UTTAR PRADESH,Graduate Professional,1,0,0,0
AIADMK,0,1900000,0,DELHI,10th Pass,0,0,0,0
INC,0,140000000,5200000,HIMACHAL PRADESH,Post Graduate,0,0,0,0
CPI,1,40000000,6900000,KERALA,Graduate Professional,0,0,0,1
BJP,0,10000000,20000000,GUJARAT,10th Pass,0,0,0,0
BJP,0,10000000,5000000,UTTARAKHAND,8th Pass,1,0,0,0
JD(U),0,320000000,2800000,BIHAR,10th Pass,0,0,0,0
BJP,0,10000000,10000000,GUJARAT,Graduate,0,1,0,0
INC,0,340000000,90000,HARYANA,Post Graduate,0,0,0,0
DMK,0,140000000,9400000,TAMIL NADU,Graduate Professional,0,0,0,0
BJP,0,40000000,0,GUJARAT,10th Pass,0,0,0,0
INC,0,10000000,400000,BIHAR,12th Pass,0,0,0,0
BJP,0,80000000,20000000,MADHYA PRADESH,10th Pass,0,0,0,0
BJD,2,9500000,700000,WEST BENGAL,Post Graduate,0,0,0,0
BJP,0,10000000,700000,CHHATTISGARH,Post Graduate,0,1,0,0
Sikkim Krantikari Morcha,0,6200000,200000,SIKKIM,Graduate,0,0,0,0
BJP,1,320000000,7800000,KARNATAKA,8th Pass,0,0,0,0
BJP,1,1150000000,5500000,KARNATAKA,10th Pass,0,0,0,0
INC,13,70000000,100000000,KARNATAKA,Post Graduate,0,0,0,0
SP,1,0,0,UTTAR PRADESH,Graduate,0,0,0,0
YSRCP,4,160000000,150000000,ANDHRA PRADESH,Doctorate,0,0,0,0
INC,0,90000000,7400000,MAHARASHTRA,8th Pass,0,1,0,0
NPP,0,10000000,10000000,MANIPUR,8th Pass,0,1,0,0
YSRCP,1,140000000,1600000,ANDHRA PRADESH,8th Pass,0,0,0,0
BJP,0,20000000,10000000,GUJARAT,10th Pass,0,1,0,0
SP,1,150000000,4400000,WEST BENGAL,Graduate Professional,1,0,0,0
AITC,1,90000000,8500000,WEST BENGAL,8th Pass,0,0,0,0
AAP,1,10000000,700000,DELHI,Post Graduate,0,0,0,0
INC,0,120000000,7300000,PUDUCHERRY,12th Pass,0,0,0,0
INC,1,1020000000,8000000,KARNATAKA,12th Pass,0,0,0,0
INC,0,20000000,1900000,CHHATTISGARH,12th Pass,0,0,0,0
DMK,0,150000000,2400000,TAMIL NADU,Post Graduate,0,0,0,0
INC,0,20000000,10000000,HARYANA,10th Pass,0,0,0,0
BJP,0,10000000,3200000,WEST BENGAL,8th Pass,0,0,0,0
DMK,3,20000000,2900000,TAMIL NADU,10th Pass,0,0,0,0
SP,0,60000000,10000000,UTTAR PRADESH,Graduate,1,0,0,0
AAP,1,100000000,0,DELHI,Post Graduate,0,0,0,0
JD(U),0,10000000,500000,BIHAR,12th Pass,0,0,0,0
INC,8,280000000,140000000,KARNATAKA,Post Graduate,0,0,0,0
RJD,7,20000000,500000,BIHAR,12th Pass,0,0,0,0
RJD,4,10000000,100000,BIHAR,12th Pass,0,0,0,0
BJP,0,800000,2300000,HIMACHAL PRADESH,10th Pass,1,0,0,0
AITC,0,40000000,0,WEST BENGAL,Post Graduate,0,0,0,0
IND,0,140000000,2200000,WEST BENGAL,Graduate,0,0,0,0
AIADMK,0,10000000,20000000,TAMIL NADU,12th Pass,1,0,0,0
Tipra Motha Party,0,5300000,0,TRIPURA,Graduate,0,0,0,0
BJP,4,0,20000000,BIHAR,Doctorate,0,0,0,0
NPP,0,10000000,10000000,NAGALAND,10th Pass,0,1,0,0
AITC,0,0,50000000,WEST BENGAL,Graduate Professional,0,0,0,0
BJP,0,20000000,3100000,RAJASTHAN,Post Graduate,0,0,0,0
INC,10,40000000,3500000,KARNATAKA,Graduate Professional,0,0,0,1
BJP,0,10000000,200000,ASSAM,Graduate,0,0,0,0
BJP,0,20000000,10000000,MANIPUR,Graduate,0,0,0,0
BJP,1,40000000,9400000,MADHYA PRADESH,12th Pass,0,0,0,0
DMK,3,20000000,1700000,TAMIL NADU,8th Pass,0,0,0,0
INC,1,410000000,5900000,CHHATTISGARH,Post Graduate,0,0,0,0
BJP,0,40000000,5000000,CHHATTISGARH,Post Graduate,0,0,0,0
NPP,0,40000000,10000000,MEGHALAYA,Post Graduate,0,1,0,0
INC,12,370000000,50000,KARNATAKA,Graduate Professional,0,0,0,0
INC,1,290000000,210000000,KERALA,12th Pass,0,0,0,0
BJP,0,8500000,2900000,GOA,12th Pass,0,0,0,0
INC,0,160000000,240000000,KARNATAKA,8th Pass,0,0,0,0
INC,8,5000000,8200000,KARNATAKA,10th Pass,0,0,0,0
BJP,0,0,10000000,UTTAR PRADESH,Graduate Professional,1,0,0,0
AIADMK,0,40000000,2000000,DELHI,10th Pass,0,0,0,0
BJP,0,100000000,800000,GUJARAT,10th Pass,0,0,0,0
YSRCP,0,140000000,10000000,WEST BENGAL,12th Pass,0,0,0,0
BJP,0,9900000,2100000,ASSAM,10th Pass,0,0,0,0
BJP,0,10000000,900000,GUJARAT,Graduate Professional,0,0,1,0
JD(U),0,0,50000000,HARYANA,Graduate,0,0,0,0
BJP,2,250000000,50000000,MADHYA PRADESH,5th Pass,1,0,0,0
INC,8,140000000,20000000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,0,10000000,140000000,RAJASTHAN,Graduate Professional,0,0,0,0
INC,0,0,40000000,KARNATAKA,Graduate Professional,0,0,0,0
INC,1,10000000,3900000,HIMACHAL PRADESH,Graduate Professional,0,0,0,1
INC,1,370000000,4900000,KARNATAKA,Post Graduate,0,0,0,0
BJP,0,130000000,1000000,UTTAR PRADESH,Doctorate,1,0,1,0
BJP,0,710000000,1140000000,RAJASTHAN,10th Pass,0,0,0,0
INC,0,100000000,0,RAJASTHAN,10th Pass,0,1,0,0
CPI(M),7,5900000,1400000,KERALA,12th Pass,0,0,0,0
AIADMK,0,10000000,2700000,GUJARAT,12th Pass,0,0,0,0
BJP,1,10000000,0,UTTAR PRADESH,Doctorate,0,0,0,0
SP,0,130000000,1000000,UTTAR PRADESH,Graduate Professional,0,0,1,0
INC,0,30000000,2800000,UTTAR PRADESH,12th Pass,1,0,0,0
INC,0,580000000,2400000,RAJASTHAN,Graduate Professional,0,0,0,0
AITC,0,300000,2100000,WEST BENGAL,Post Graduate,1,0,0,0
CPI(M),1,0,1400000,KERALA,Graduate Professional,0,0,0,1
IND,1,1410000000,35000,HARYANA,8th Pass,0,0,0,0
AITC,0,20000000,0,WEST BENGAL,8th Pass,1,1,0,0
INC,0,2100000,1400000,KERALA,Post Graduate,0,0,0,1
INC,14,150000000,2400000,KARNATAKA,Graduate Professional,0,0,0,0
SP,0,200000000,0,WEST BENGAL,Graduate,0,0,0,0
INC,3,100000000,10000000,KERALA,12th Pass,0,0,0,0
INC,0,60000000,9800000,KARNATAKA,Graduate,0,0,0,0
BJP,3,10000000,60000000,RAJASTHAN,12th Pass,0,0,0,0
SHS,6,180000000,30000000,MAHARASHTRA,12th Pass,0,0,0,0
SP,1,190000000,3600000,UTTAR PRADESH,Post Graduate,0,0,0,0
BJP,0,680000000,700000,WEST BENGAL,12th Pass,0,0,0,0
BJP,2,7200000,80000000,WEST BENGAL,8th Pass,1,0,0,0
INC,7,140000000,1100000,KARNATAKA,Graduate,0,0,0,0
BJP,1,10000000,80000000,BIHAR,8th Pass,0,0,0,0
SP,0,130000000,1000000,UTTAR PRADESH,Post Graduate,1,0,1,0
AITC,6,2200000,0,MANIPUR,Post Graduate,0,0,0,0
CPI(M),1,20000000,4500000,KERALA,Post Graduate,0,0,0,0
BJD,1,300000000,700000,ODISHA,Graduate Professional,0,0,0,0
DMK,16,100000000,4300000,TAMIL NADU,Graduate Professional,0,0,0,0
BJP,1,110000000,1700000,UTTAR PRADESH,Post Graduate,1,0,0,0
BJP,0,10000000,20000000,UTTAR PRADESH,Graduate Professional,1,0,0,0
AAP,0,180000000,240000000,DELHI,12th Pass,0,0,0,0
YSRCP,0,60000000,4200000,ANDHRA PRADESH,Graduate Professional,0,0,0,0
BJP,0,100000000,3700000,GUJARAT,10th Pass,0,0,0,0
BJP,6,10000000,2300000,UTTAR PRADESH,12th Pass,0,0,0,0
AITC,1,680000000,0,WEST BENGAL,Post Graduate,0,0,0,0
INC,8,280000000,140000000,KARNATAKA,Graduate Professional,0,0,0,0
AAP,0,0,200000,MADHYA PRADESH,12th Pass,0,0,0,0
BJP,1,0,1900000,UTTARAKHAND,Post Graduate,0,0,0,0
JMM,0,100000000,1900000,JHARKHAND,Graduate,0,1,0,0
BJP,2,320000000,2400000,CHHATTISGARH,Graduate Professional,0,0,0,0
BJP,1,60000000,0,UTTAR PRADESH,Post Graduate,1,0,0,0
BJP,0,20000000,20000000,MADHYA PRADESH,Graduate Professional,1,0,0,0
BJP,0,40000000,800000,WEST BENGAL,Graduate,0,1,0,0
AAP,0,0,1300000,DELHI,12th Pass,0,0,0,0
AAP,1,0,2200000,PUNJAB,Graduate Professional,0,0,0,0
YSRCP,4,10000000,20000000,ANDHRA PRADESH,8th Pass,0,0,0,0
INC,1,80000000,2200000,UTTAR PRADESH,Post Graduate,0,0,0,0
IND,1,630000000,7200000,KERALA,12th Pass,0,0,0,0
SP,1,20000000,0,UTTAR PRADESH,Graduate Professional,0,0,0,0
BJP,0,10000000,0,RAJASTHAN,Others,0,0,0,0
NPP,0,500000,5200000,MEGHALAYA,Graduate,0,1,0,0
BJP,0,90000000,20000000,RAJASTHAN,10th Pass,0,0,0,0
BJP,1,0,0,UTTAR PRADESH,12th Pass,0,0,0,0
BJP,1,0,0,NAGALAND,10th Pass,1,0,0,0
INC,1,180000000,8300000,HIMACHAL PRADESH,Graduate,0,0,0,0
BJP,0,340000000,9600000,PUDUCHERRY,Others,0,0,0,0
AAP,0,10000000,2700000,PUNJAB,12th Pass,0,0,0,0
CPI(M),1,8800000,0,KERALA,Graduate Professional,0,0,0,1
BJP,1,6600000,20000000,ANDHRA PRADESH,Doctorate,0,0,1,0
BJP,0,30000000,8500000,UTTAR PRADESH,Graduate Professional,0,0,1,0
INC,0,8900000,7600000,KARNATAKA,Graduate,0,0,0,0
AAP,0,30000000,400000,PUNJAB,12th Pass,0,0,0,0
YSRCP,1,50000000,2700000,ANDHRA PRADESH,12th Pass,0,0,0,0
BJP,14,1020000000,8300000,KARNATAKA,Graduate,0,0,0,0
AAP,0,370000000,110000000,PUDUCHERRY,10th Pass,0,0,0,0
BJP,0,20000000,2000000,UTTAR PRADESH,Graduate,0,0,0,0
BJP,0,4300000,300000,JHARKHAND,Post Graduate,0,0,0,0
CPI(M),7,530000000,20000000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,1,20000000,2600000,UTTAR PRADESH,Post Graduate,0,0,0,0
BJP,0,20000000,10000000,MADHYA PRADESH,Others,1,0,0,0
DMK,3,90000000,900000,TAMIL NADU,Graduate Professional,0,0,0,0
DMK,0,50000000,50000000,TAMIL NADU,12th Pass,0,0,0,0
BJP,0,0,10000000,UTTAR PRADESH,Graduate,0,0,0,0
BJP,0,10000000,0,UTTAR PRADESH,Graduate Professional,1,0,0,0
BJP,0,10000000,700000,GUJARAT,10th Pass,0,0,0,0
SP,4,0,3600000,UTTAR PRADESH,Graduate Professional,0,0,0,0
DMK,23,3900000,3000,TAMIL NADU,Post Graduate,0,0,0,0
INC,2,40000000,140000000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,2,590000000,80000000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,0,10000000,1500000,WEST BENGAL,8th Pass,0,1,0,0
JMM,3,2000000,6100000,JHARKHAND,12th Pass,0,0,0,0
INC,2,320000000,10000000,KARNATAKA,Graduate,0,0,0,0
BJP,0,110000000,5900000,HARYANA,Graduate,0,0,0,0
BJD,0,9400000,0,ODISHA,10th Pass,0,0,0,0
BJP,1,150000000,40000000,UTTAR PRADESH,Doctorate,0,0,1,0
NCP,1,90000000,40000000,GUJARAT,10th Pass,0,1,0,0
RJD,0,10000000,400000,BIHAR,12th Pass,0,0,0,0
INC,1,0,1700000,RAJASTHAN,12th Pass,0,0,0,0
BJP,0,60000000,0,UTTAR PRADESH,5th Pass,1,0,0,0
BJP,0,10000000,3500000,MADHYA PRADESH,12th Pass,0,0,0,0
AAP,1,140000000,110000000,PUNJAB,Post Graduate,0,0,0,0
SP,0,70000000,0,UTTAR PRADESH,12th Pass,0,0,0,0
RJD,4,10000000,6100000,BIHAR,Doctorate,0,0,0,0
BJP,1,70000000,8500000,UTTAR PRADESH,Graduate,0,0,0,0
YSRCP,0,140000000,1600000,ANDHRA PRADESH,Post Graduate,0,0,0,0
INC,0,280000000,1700000,KARNATAKA,Graduate Professional,0,0,0,0
AITC,1,5000000,0,RAJASTHAN,Graduate Professional,0,0,0,0
BJP,0,120000000,0,ARUNACHAL PRADESH,Graduate,0,0,0,0
INC,0,10000000,10000000,MAHARASHTRA,10th Pass,0,0,0,0
IND,0,30000000,3000000,ARUNACHAL PRADESH,Post Graduate,0,1,0,0
INC,0,210000000,50000000,KARNATAKA,12th Pass,0,0,0,0
BJP,0,120000000,2700000,UTTAR PRADESH,12th Pass,1,0,0,0
BJD,1,40000000,1600000,ODISHA,Graduate Professional,0,0,0,0
BJP,0,130000000,1000000,UTTAR PRADESH,Doctorate,0,0,1,0
BJP,0,10000000,0,TRIPURA,Graduate Professional,0,0,0,0
INC,0,170000000,1700000,SIKKIM,Graduate,0,0,0,0
SHS,4,50000000,30000000,MAHARASHTRA,12th Pass,0,0,0,0
DMK,17,2700000,8400000,RAJASTHAN,12th Pass,0,0,0,0
RJD,4,10000000,0,BIHAR,Doctorate,1,0,0,0
BJP,0,70000000,10000000,MANIPUR,Graduate,0,0,0,0
AAP,0,10000000,600000,DELHI,Others,0,0,0,0
YSRCP,0,140000000,7400000,ANDHRA PRADESH,Post Graduate,0,0,0,0
NCP,0,90000000,10000000,MAHARASHTRA,Graduate Professional,0,0,0,0
INC,1,60000000,20000000,UTTAR PRADESH,Post Graduate,0,0,1,0
NPP,0,80000000,0,MEGHALAYA,10th Pass,0,1,0,0
INC,3,310000000,0,KARNATAKA,12th Pass,0,0,0,0
DMK,4,40000000,30000000,TAMIL NADU,Post Graduate,0,0,0,0
DMK,0,20000000,900000,TAMIL NADU,Graduate,1,0,0,0
BJP,1,100000000,40000000,KARNATAKA,Graduate,0,0,0,0
AITC,4,40000000,1400000,WEST BENGAL,Post Graduate,1,0,0,0
BJP,0,60000000,200000,GUJARAT,12th Pass,0,0,0,0
BJP,0,6600000,20000000,UTTAR PRADESH,Graduate Professional,0,0,0,0
BJP,0,20000000,600000,TRIPURA,Graduate,0,0,0,0
INC,1,100000000,50000000,MADHYA PRADESH,8th Pass,0,0,0,0
BJP,0,630000000,2700000,RAJASTHAN,Others,0,0,0,0
AAP,11,2000000,0,PUNJAB,Post Graduate,0,0,0,0
